Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
06/29/2020,6997,409,1524,11314,105740,7655,21462,3585,2228,30846,16179,536,1677,0,26918,5984,4930,8866,3001,8526,28,12536,16112,12696,7538,3334,6233,6269,2474,5437,2117,16151,8089,46428,14400,3292,0,17617,228,7263,9907,79467,1486,9503,564,28653,43970,5456,1128,0,9045,17616,169655,5938,33
06/30/2020,13343,3476,20913,8667,105447,5462,11536,950,1935,32252,10761,401,588,2947,31069,7677,3343,0,9471,23874,1429,8682,16112,15682,12361,4024,5601,2118,2885,4551,1995,18390,6672,52025,23728,1693,0,13547,15404,2501,11298,215,3756,11267,631,15921,50093,6848,771,76,9645,17729,171764,12809,1816
07/01/2020,7290,2215,17227,3655,87037,5803,11451,503,2740,35359,21160,469,1315,1713,33090,5520,5602,6448,6134,23577,2289,9571,14528,16802,11791,6206,16733,2469,2451,6528,1534,20563,6461,56710,32205,2459,0,4076,4716,5726,12617,72,1997,9300,855,24759,52666,2605,528,63,16514,16148,173352,12631,27
07/02/2020,5788,1509,11235,9129,84542,7001,10305,3534,1028,51829,28201,149,1232,4061,30262,7119,7748,0,8689,15286,3576,13659,13916,23278,13320,5287,7578,1819,2054,632,3714,20976,5879,69945,28882,3503,0,1301,6737,7694,13469,71,4238,11529,998,20568,53855,3028,1049,50,12640,14811,178341,12923,1544
07/03/2020,10907,4299,17535,7250,109458,8706,-28,3425,1746,49177,17978,616,1328,3582,34387,7318,3923,8388,9829,16768,2632,15564,8339,23128,14745,0,7641,2354,1472,8957,2278,21588,6577,66392,28173,4576,1,34851,10804,3678,13871,75,2876,7631,1052,24035,38103,10250,1054,45,11483,10069,180702,10229,32
07/04/2020,11457,2524,11121,7656,104855,7934,-60,2350,1745,65137,25142,405,1858,2355,33836,8135,7550,0,0,0,2496,12955,4277,21889,0,10876,7302,1447,3454,7544,2386,23047,6737,62403,19003,4343,0,20213,580,294,10679,104,2057,11661,837,16115,57903,10080,1002,110,11709,4634,181429,6860,24
07/05/2020,7798,1021,14844,0,127107,6697,24542,3248,1439,53702,22826,0,849,3201,27235,9434,3461,0,0,18312,1987,9076,6645,16665,28843,226,7248,1156,2340,6468,3366,26092,8914,63415,18542,3742,0,20392,283,9175,9877,129,2374,10116,173,17562,61648,4592,627,0,10389,4803,184821,5007,28
07/06/2020,5209,0,13459,5636,113215,6747,5945,3238,1657,33741,9768,595,733,2201,21134,4870,2990,10658,4663,11191,1618,10937,16979,12544,5678,4547,7236,2820,1812,3784,2200,14569,2766,54328,15008,1219,0,12650,434,3520,8624,669,2962,9048,300,8452,30272,4534,329,59,9362,17749,188981,5292,41
07/07/2020,6250,7667,10932,5867,103017,6571,7313,1506,2727,35254,20499,362,615,2049,26994,3483,3836,0,9502,33953,1356,9879,19712,17148,5554,957,8603,2401,1333,5065,1698,10924,5186,56736,19444,1926,0,15073,23867,4185,16778,129,2887,5434,1062,16581,57558,7007,760,69,10798,17656,189847,12634,2421
07/08/2020,6912,1981,12212,2876,99805,6190,8177,349,3912,51013,20957,229,1423,2751,32742,5782,7053,6263,5987,18139,2032,11934,19505,23492,7723,674,6992,1094,1975,7107,1893,17715,5002,57585,25392,3509,2547,18767,5805,4361,16424,31,3513,8549,861,29760,37421,2911,643,96,12900,15397,193915,10783,29
